siteid,sitename,plotid,easting,northing,taxonid,scientificname,stemheight
SOAP,Soaproot Saddle,SOAP1695,299171.1,4100966.8,ARVI4,Arctostaphylos viscida,2
SOAP,Soaproot Saddle,SOAP1695,299170.1,4100967.5,ARVI4,Arctostaphylos viscida,0.6
SOAP,Soaproot Saddle,SOAP1695,299169.7,4100955,ARVI4,Arctostaphylos viscida,2.1
SOAP,Soaproot Saddle,SOAP1611,297438.9,4100579,ARVI4,Arctostaphylos viscida,1.4
SOAP,Soaproot Saddle,SOAP1695,299182.5,4100954.2,ARVI4,Arctostaphylos viscida,2.7
SOAP,Soaproot Saddle,SOAP139,297047.3,4100096.2,ARVI4,Arctostaphylos viscida,1.8
SOAP,Soaproot Saddle,SOAP1695,299187.5,4100972.5,ARVI4,Arctostaphylos viscida,3.8
SOAP,Soaproot Saddle,SOAP223,299303.8,4101468.8,ARVI4,Arctostaphylos viscida,1.6
SOAP,Soaproot Saddle,SOAP139,297036.5,4100090,ARVI4,Arctostaphylos viscida,1.9
SOAP,Soaproot Saddle,SOAP1343,299599.5,4100980.5,ARVI4,Arctostaphylos viscida,2.7
SOAP,Soaproot Saddle,SOAP1563,297696.9,4101219.2,ARVI4,Arctostaphylos viscida,1.2
SOAP,Soaproot Saddle,SOAP223,299301.2,4101476.5,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1515,297514.5,4101252.2,ARVI4,Arctostaphylos viscida,1.6
SOAP,Soaproot Saddle,SOAP1515,297514,4101249,ARVI4,Arctostaphylos viscida,2.2
SOAP,Soaproot Saddle,SOAP1515,297514.1,4101250,ARVI4,Arctostaphylos viscida,3.4
SOAP,Soaproot Saddle,SOAP283,297772.4,4101207.5,ARVI4,Arctostaphylos viscida,0.6
SOAP,Soaproot Saddle,SOAP143,299836.7,4100409,ARVI4,Arctostaphylos viscida,0.8
SOAP,Soaproot Saddle,SOAP1695,299184.4,4100954.5,ARVI4,Arctostaphylos viscida,2.6
SOAP,Soaproot Saddle,SOAP1695,299178.3,4100957,ARVI4,Arctostaphylos viscida,2.5
SOAP,Soaproot Saddle,SOAP1695,299183.4,4100963.5,ARVI4,Arctostaphylos viscida,1.5
SOAP,Soaproot Saddle,SOAP1343,299598,4100976.8,ARVI4,Arctostaphylos viscida,3.1
SOAP,Soaproot Saddle,SOAP1515,297514.9,4101262,ARVI4,Arctostaphylos viscida,2.4
SOAP,Soaproot Saddle,SOAP139,297037.1,4100087,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1515,297515.3,4101264.2,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP1515,297517.1,4101265.5,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP143,299837,4100411.5,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP1515,297517.6,4101264.5,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP223,299300.6,4101480,ARVI4,Arctostaphylos viscida,0.5
SOAP,Soaproot Saddle,SOAP1611,297449.9,4100581,ARVI4,Arctostaphylos viscida,0.6
SOAP,Soaproot Saddle,SOAP139,297055.3,4100083,ARVI4,Arctostaphylos viscida,2.8
SOAP,Soaproot Saddle,SOAP1515,297514.4,4101247.8,ARVI4,Arctostaphylos viscida,1.8
SOAP,Soaproot Saddle,SOAP1695,299177.6,4100958.2,ARVI4,Arctostaphylos viscida,1.6
SOAP,Soaproot Saddle,SOAP139,297039.8,4100096.5,ARVI4,Arctostaphylos viscida,1.8
SOAP,Soaproot Saddle,SOAP143,299838.3,4100410.5,ARVI4,Arctostaphylos viscida,0.6
SOAP,Soaproot Saddle,SOAP1563,297692.8,4101222,ARVI4,Arctostaphylos viscida,1.6
SOAP,Soaproot Saddle,SOAP1343,299602.6,4100973,ARVI4,Arctostaphylos viscida,2
SOAP,Soaproot Saddle,SOAP143,299838.3,4100411.2,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP1343,299596.2,4100965.5,ARVI4,Arctostaphylos viscida,2.8
SOAP,Soaproot Saddle,SOAP223,299301.2,4101477.8,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP1695,299169.5,4100973.5,ARVI4,Arctostaphylos viscida,1.8
SOAP,Soaproot Saddle,SOAP1695,299175.9,4100957,ARVI4,Arctostaphylos viscida,1
SOAP,Soaproot Saddle,SOAP1611,297445.9,4100570.8,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP1515,297503.6,4101266,ARVI4,Arctostaphylos viscida,1.4
SOAP,Soaproot Saddle,SOAP283,297767.8,4101213.2,ARVI4,Arctostaphylos viscida,1.8
SOAP,Soaproot Saddle,SOAP1515,297516,4101261,ARVI4,Arctostaphylos viscida,1.5
SOAP,Soaproot Saddle,SOAP283,297778.9,4101200,ARVI4,Arctostaphylos viscida,0
SOAP,Soaproot Saddle,SOAP1695,299178.3,4100968.2,ARVI4,Arctostaphylos viscida,3.8
SOAP,Soaproot Saddle,SOAP1343,299598.5,4100975,ARVI4,Arctostaphylos viscida,0.9
SOAP,Soaproot Saddle,SOAP1515,297510.2,4101249.5,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP255,300144.1,4101387,ARVI4,Arctostaphylos viscida,3.1
SOAP,Soaproot Saddle,SOAP1695,299183.1,4100974,ARVI4,Arctostaphylos viscida,3.1
SOAP,Soaproot Saddle,SOAP1515,297517.2,4101264.8,ARVI4,Arctostaphylos viscida,1.7
