slug,tag_name,start_date,attendance,host_name,country
2014-07-21-cranfield,SWC,2014-07-21,28,Cranfield University,GB
2014-07-23-jfrc,SWC,2014-07-23,26,Howard Hughes Medical Institute,US
2014-07-24-beacon,DC,2014-07-24,35,BEACON,US
2014-07-28-stanford,SWC,2014-07-28,35,Stanford University,US
2014-07-30-pyconaus,SWC,2014-07-30,40,University of Queensland,AU
2014-08-05-frf,SWC,2014-08-05,8,US Army Engineer Research and Development Center,US
2014-08-11-wustl,SWC,2014-08-11,56,Washington University in St. Louis,US
2014-08-12-vu,SWC,2014-08-12,40,Vanderbilt University,US
2014-08-14-stanford,SWC,2014-08-14,35,Stanford University,US
2014-08-18-ufrj,SWC,2014-08-18,15,Universidade Federal do Rio de Janeiro,BR
2014-08-18-unimelb,SWC,2014-08-18,45,University of Melbourne,AU
2014-08-21-kiel,SWC,2014-08-21,35,GEOMAR (Kiel),DE
2014-08-21-upenn,SWC,2014-08-21,25,University of Pennsylvania,US
2014-08-23-ttu,SWC,2014-08-23,29,Texas Tech University,US
2014-08-25-wisc,SWC,2014-08-25,37,University of Wisconsin - Madison,US
2014-08-26-cam,SWC,2014-08-26,25,University of Cambridge,GB
2014-08-28-ufrgs,SWC,2014-08-28,30,Universidade Federal do Rio Grande do Sul,BR
2014-09-01-ccsl,SWC,2014-09-01,12,Centro de Competencia em Software Livre,BR
2014-09-04-ccsl,SWC,2014-09-04,14,Centro de Competencia em Software Livre,BR
2014-09-10-ttt-online,"TTT,online",2014-09-10,81,Software Carpentry,W3
2014-09-11-udel,SWC,2014-09-11,40,University of Delaware,US
2014-09-13-uwaterloo,SWC,2014-09-13,25,University of Waterloo,CA
2014-09-15-unimelb,SWC,2014-09-15,44,University of Melbourne,AU
2014-09-16-imperial,SWC,2014-09-16,31,Imperial College London,GB
2014-09-18-chicago,SWC,2014-09-18,40,University of Chicago,US
2014-09-22-lbl,SWC,2014-09-22,20,Lawrence Berkeley National Laboratory,US
2014-09-22-ttt-uva,"TTT,online",2014-09-22,31,Software Carpentry,W3
2014-09-24-frb,SWC,2014-09-24,19,Federal Reserve Board,US
2014-09-25-ubc,SWC,2014-09-25,24,University of British Columbia,CA
2014-09-27-asu,SWC,2014-09-27,35,Arizona State University,US
2014-09-29-iDigBio,DC,2014-09-29,24,iDigBio,US
2014-09-30-msu,SWC,2014-09-30,19,Michigan State University,US
2014-10-06-indiana,SWC,2014-10-06,12,Indiana University,US
2014-10-06-osu,SWC,2014-10-06,30,Ohio State,US
2014-10-06-rotman,SWC,2014-10-06,71,University of Toronto,CA
2014-10-11-yale,SWC,2014-10-11,17,Yale University,US
2014-10-13-geosim,SWC,2014-10-13,28,GFZ Potsdam,DE
2014-10-13-rice,SWC,2014-10-13,40,Rice University,US
2014-10-22-ttt-tgac,"TTT,online",2014-10-22,41,Software Carpentry,W3
2014-10-30-utoronto,SWC,2014-10-30,24,University of Toronto,CA
2014-10-31-USyd,SWC,2014-10-31,27,University of Sydney,AU
2014-10-31-nw,SWC,2014-10-31,50,Northwestern University,US
2014-11-05-UCL,SWC,2014-11-05,27,University College London,GB
2014-11-05-uclhep,SWC,2014-11-05,16,University College London,GB
2014-11-06-UZH,SWC,2014-11-06,36,University of Zurich,CH
2014-11-06-fmv,SWC,2014-11-06,21,Universite de Montreal,CA
2014-11-07-harvard,SWC,2014-11-07,37,Harvard University,US
2014-11-10-manchester,SWC,2014-11-10,29,University of Manchester,GB
2014-11-12-embl,SWC,2014-11-12,23,European Molecular Biology Laboratory,DE
2014-11-12-ttt-washington,"TTT,online",2014-11-12,20,Software Carpentry,W3
2014-11-17-liverpool,SWC,2014-11-17,30,University of Liverpool,GB
2014-11-24-leeds,SWC,2014-11-24,20,University of Leeds,GB
2014-11-27-elixiruk-manchester,SWC,2014-11-27,29,University of Manchester,GB
2014-11-27-uct,SWC,2014-11-27,84,University of Cape Town,ZA
2014-12-03-edinburgh,SWC,2014-12-03,35,University of Edinburgh,GB
2014-12-06-wise-krakow,SWC,2014-12-06,72,Jagiellonian University,PL
2014-12-08-combine-r,SWC,2014-12-08,42,University of Melbourne,AU
2014-12-11-ufsc,SWC,2014-12-11,17,Universidade Federal de Santa Catarina,BR
2014-12-11-ugsupa,SWC,2014-12-11,14,University of Glasgow,GB
2014-12-15-UChicago,SWC,2014-12-15,16,University of Chicago,US
2014-12-16-lbl,SWC,2014-12-16,27,Lawrence Berkeley National Laboratory,US
2014-12-18-yale,SWC,2014-12-18,18,Yale University,US
2015-01-03-aas,SWC,2015-01-03,27,American Astronomical Society,US
2015-01-05-wise-cuboulder,"WiSE,SWC",2015-01-05,27,University of Colorado,US
2015-01-05-wise-umich,"WiSE,SWC",2015-01-05,57,University of Michigan,US
2015-01-06-ttt-ucdavis,"TTT,online",2015-01-06,44,Software Carpentry,W3
2015-01-07-instaar,SWC,2015-01-07,8,Institute of Arctic and Alpine Research,US
2015-01-08-NIH,SWC,2015-01-08,30,National Institutes of Health,US
2015-01-08-nber,SWC,2015-01-08,37,National Bureau of Economic Research,US
2015-01-08-unl,SWC,2015-01-08,40,University of Nebraska,US
2015-01-08-uoit,SWC,2015-01-08,24,University of Ontario Institute of Technology,CA
2015-01-10-mcgill,SWC,2015-01-10,42,McGill University,CA
2015-01-10-st_josephs,SWC,2015-01-10,6,"St. Joseph's Hospital, Phoenix AZ",US
2015-01-11-earlham,SWC,2015-01-11,58,Earlham College,US
2015-01-13-oxford,SWC,2015-01-13,28,University of Oxford,GB
2015-01-13-wisc,SWC,2015-01-13,37,University of Wisconsin - Madison,US
2015-01-14-leeds,SWC,2015-01-14,22,University of Leeds,GB
2015-01-14-oxford,SWC,2015-01-14,67,University of Oxford,GB
2015-01-15-cornell,DC,2015-01-15,41,Cornell University,US
2015-01-15-umd,DC,2015-01-15,30,University of Maryland,US
2015-01-15-uw,SWC,2015-01-15,59,University of Washington,US
2015-01-26-tulane,SWC,2015-01-26,47,Tulane University,US
2015-01-27-msu_icer,SWC,2015-01-27,12,Michigan State University,US
2015-01-27-ubc,SWC,2015-01-27,31,University of British Columbia,CA
2015-01-29-ncsu,SWC,2015-01-29,24,North Carolina State University,US
2015-01-29-sickkids,SWC,2015-01-29,37,"Hospital for Sick Children, Toronto",CA
2015-01-29-uiuc,SWC,2015-01-29,29,University of Illinois at Urbana-Champaign,US
2015-01-31-ualbany,SWC,2015-01-31,23,SUNY Albany,US
2015-02-01-ttt-online,"TTT,online",2015-02-01,127,Software Carpentry,W3
2015-02-03-CDT-reg-medicine,SWC,2015-02-03,11,EPSRC & MRC Centre for Doctoral Training (CDT) in Regenerative Medicine,GB
2015-02-05-toronto,SWC,2015-02-05,28,University of Toronto,CA
2015-02-09-ucdavis,DC,2015-02-09,25,University of California Davis,US
2015-02-11-ttt-melbourne,"TTT,online",2015-02-11,46,Software Carpentry,W3
2015-02-14-ucla,SWC,2015-02-14,47,University of California Los Angeles,US
2015-02-16-resbaz-matlab,SWC,2015-02-16,17,University of Melbourne,AU
