date_awarded,first_wkshp,days
10/01/14,12/01/14,61
12/01/14,02/01/15,62
03/01/15,05/01/15,61
11/01/13,01/01/14,61
11/01/14,01/01/15,61
06/01/17,08/01/17,61
10/01/17,12/01/17,61
07/01/16,09/01/16,62
06/01/17,08/01/17,61
08/01/16,10/01/16,61
02/01/15,05/01/15,89
11/01/14,01/01/15,61
07/01/15,09/01/15,62
07/01/13,09/01/13,62
10/01/17,12/01/17,61
03/01/15,05/01/15,61
08/01/16,10/01/16,61
04/01/18,06/01/18,61
11/01/16,01/01/17,61
12/01/14,02/01/15,62
02/01/16,04/01/16,60
11/01/16,01/01/17,61
06/01/15,08/01/15,61
03/01/16,05/01/16,61
08/01/16,10/01/16,61
07/01/17,09/01/17,62
03/01/16,06/01/16,92
08/01/16,11/01/16,92
03/01/16,05/01/16,61
04/01/16,06/01/16,61
02/01/15,04/01/15,59
03/01/16,05/01/16,61
12/01/14,03/01/15,90
06/01/15,08/01/15,61
08/01/17,11/01/17,92
12/01/17,02/01/18,62
02/01/18,04/01/18,59
11/01/17,02/01/18,92
11/01/17,01/01/18,61
06/01/16,08/01/16,61
05/01/17,07/01/17,61
05/01/15,07/01/15,61
12/01/14,03/01/15,90
02/01/17,04/01/17,59
03/01/16,05/01/16,61
10/01/17,01/01/18,92
08/01/16,10/01/16,61
08/01/17,11/01/17,92
08/01/17,10/01/17,61
01/01/15,04/01/15,90
03/01/15,06/01/15,92
03/01/15,06/01/15,92
02/01/16,04/01/16,60
07/01/16,10/01/16,92
06/01/16,09/01/16,92
08/01/16,11/01/16,92
01/01/15,04/01/15,90
02/01/16,05/01/16,90
02/01/16,05/01/16,90
01/01/18,04/01/18,90
02/01/16,05/01/16,90
04/01/16,07/01/16,91
11/01/16,02/01/17,92
12/01/16,03/01/17,90
10/01/15,01/01/16,92
08/01/16,11/01/16,92
03/01/16,06/01/16,92
07/01/16,10/01/16,92
02/01/15,05/01/15,89
07/01/16,10/01/16,92
11/01/16,02/01/17,92
03/01/16,06/01/16,92
06/01/16,08/01/16,61
01/01/17,04/01/17,90
12/01/17,03/01/18,90
03/01/15,06/01/15,92
01/01/15,04/01/15,90
10/01/14,01/01/15,92
07/01/17,10/01/17,92
06/01/15,09/01/15,92
02/01/16,05/01/16,90
10/01/14,01/01/15,92
11/01/13,02/01/14,92
11/01/14,02/01/15,92
10/01/15,01/01/16,92
05/01/16,08/01/16,92
06/01/16,10/01/16,122
12/01/14,04/01/15,121
02/01/16,06/01/16,121
07/01/16,11/01/16,123
07/01/16,11/01/16,123
10/01/16,01/01/17,92
01/01/17,05/01/17,120
02/01/16,05/01/16,90
04/01/16,07/01/16,91
06/01/15,09/01/15,92
03/01/16,06/01/16,92
05/01/14,08/01/14,92
02/01/16,05/01/16,90
01/01/17,05/01/17,120
12/01/12,04/01/13,121
02/01/16,05/01/16,90
02/01/17,05/01/17,89
08/01/16,11/01/16,92
07/01/17,10/01/17,92
12/01/14,03/01/15,90
06/01/15,09/01/15,92
04/01/15,08/01/15,122
05/01/14,08/01/14,92
07/01/17,10/01/17,92
07/01/15,10/01/15,92
07/01/15,10/01/15,92
05/01/15,08/01/15,92
03/01/16,06/01/16,92
03/01/15,07/01/15,122
11/01/14,03/01/15,120
09/01/14,01/01/15,122
02/01/16,05/01/16,90
01/01/18,05/01/18,120
06/01/16,10/01/16,122
07/01/16,11/01/16,123
06/01/15,10/01/15,122
03/01/16,06/01/16,92
09/01/14,01/01/15,122
03/01/16,07/01/16,122
08/01/16,12/01/16,122
03/01/16,07/01/16,122
06/01/17,09/01/17,92
03/01/17,07/01/17,122
11/01/13,03/01/14,120
11/01/13,03/01/14,120
09/01/17,01/01/18,122
05/01/15,09/01/15,123
04/01/17,08/01/17,122
11/01/17,03/01/18,120
03/01/15,07/01/15,122
09/01/16,01/01/17,122
02/01/15,07/01/15,150
06/01/16,11/01/16,153
06/01/17,10/01/17,122
10/01/17,02/01/18,123
02/01/15,07/01/15,150
02/01/15,07/01/15,150
02/01/15,07/01/15,150
02/01/15,07/01/15,150
03/01/16,07/01/16,122
12/01/14,04/01/15,121
02/01/17,06/01/17,120
04/01/17,08/01/17,122
04/01/17,08/01/17,122
01/01/16,05/01/16,121
08/01/17,12/01/17,122
01/01/16,05/01/16,121
01/01/18,05/01/18,120
12/01/14,04/01/15,121
01/01/15,05/01/15,120
10/01/14,02/01/15,123
05/01/14,09/01/14,123
03/01/15,07/01/15,122
10/01/17,03/01/18,151
10/01/17,02/01/18,123
03/01/15,07/01/15,122
10/01/17,03/01/18,151
09/01/17,01/01/18,122
01/01/15,06/01/15,151
11/01/13,04/01/14,151
06/01/16,11/01/16,153
02/01/15,06/01/15,120
06/01/15,10/01/15,122
09/01/17,01/01/18,122
11/01/14,04/01/15,151
03/01/16,07/01/16,122
03/01/16,08/01/16,153
11/01/14,04/01/15,151
11/01/13,04/01/14,151
11/01/14,04/01/15,151
02/01/15,06/01/15,120
10/01/17,03/01/18,151
02/01/15,07/01/15,150
04/01/16,08/01/16,122
04/01/16,08/01/16,122
10/01/17,03/01/18,151
10/01/17,03/01/18,151
04/01/17,09/01/17,153
09/01/15,02/01/16,153
11/01/17,03/01/18,120
08/01/17,01/01/18,153
11/01/13,04/01/14,151
01/01/16,06/01/16,152
10/01/17,03/01/18,151
08/01/14,01/01/15,153
05/01/15,10/01/15,153
01/01/16,06/01/16,152
11/01/17,04/01/18,151
12/01/14,05/01/15,151
09/01/17,02/01/18,153
04/01/15,09/01/15,153
02/01/16,07/01/16,151
01/01/17,06/01/17,151
01/01/18,06/01/18,151
09/01/17,02/01/18,153
03/01/17,08/01/17,153
09/01/14,02/01/15,153
11/01/14,04/01/15,151
10/01/15,03/01/16,152
09/01/17,03/01/18,181
11/01/14,05/01/15,181
10/01/17,04/01/18,182
10/01/14,03/01/15,151
02/01/16,08/01/16,182
02/01/16,08/01/16,182
12/01/17,05/01/18,151
01/01/17,07/01/17,181
11/01/17,04/01/18,151
11/01/14,04/01/15,151
06/01/16,12/01/16,183
11/01/13,04/01/14,151
04/01/17,10/01/17,183
02/01/17,07/01/17,150
03/01/16,08/01/16,153
08/01/14,01/01/15,153
09/01/17,02/01/18,153
11/01/13,05/01/14,181
12/01/14,06/01/15,182
02/01/17,07/01/17,150
08/01/17,01/01/18,153
12/01/14,05/01/15,151
07/01/17,01/01/18,184
05/01/15,11/01/15,184
12/01/17,06/01/18,182
12/01/14,06/01/15,182
08/01/16,02/01/17,184
11/01/13,05/01/14,181
09/01/15,03/01/16,182
10/01/17,04/01/18,182
05/01/14,10/01/14,153
02/01/16,08/01/16,182
10/01/14,04/01/15,182
11/01/16,05/01/17,181
10/01/14,04/01/15,182
02/01/16,08/01/16,182
12/01/16,06/01/17,182
05/01/15,11/01/15,184
03/01/17,09/01/17,184
05/01/15,11/01/15,184
10/01/17,05/01/18,212
10/01/17,05/01/18,212
09/01/17,03/01/18,181
07/01/15,01/01/16,184
12/01/17,06/01/18,182
05/01/15,11/01/15,184
12/01/13,06/01/14,182
12/01/16,06/01/17,182
12/01/16,06/01/17,182
02/01/15,09/01/15,212
05/01/15,11/01/15,184
