Start Day UTC,Start time Pacific,Start time UTC,Minutes,Session name,Session type,Room,Retrieved,Confirmed,Filename
"10 August, 2022",5:30:00 PM,12:30:00 AM,90,Translation at The Carpentries: Where We've Been and Where We're Going,,Room2,TRUE,TRUE,"Room2-Aug 09, 2022 5:18 PM.csv"
"10 August, 2022",12:00:00 AM,7:00:00 AM,120,Instructor Onboarding for Data Carpentry: Image Processing with Python (beta),Skill Up,Room2,TRUE,TRUE,"Room2-Aug 09, 2022 11:42 PM.csv"
"10 August, 2022",2:30:00 AM,9:30:00 AM,120,Building Lessons with The Carpentries Workbench,Skill Up,Room2,TRUE,TRUE,"Room2-Aug 09, 2022 11:42 PM.csv"
"10 August, 2022",7:00:00 AM,2:00:00 PM,120,Git Good: Using GitHub for Collaboration in Open Source Communities,Skill Up,Room2,TRUE,TRUE,"Room2-Aug 10, 2022 6:36 AM.csv"
"10 August, 2022",9:30:00 AM,4:30:00 PM,120,What's all the GitHubub about? Contributing to Lessons directly on GitHub,Skill Up,Room2,TRUE,TRUE,"Room2-Aug 10, 2022 6:36 AM.csv"
"10 August, 2022",3:00:00 PM,10:00:00 PM,120,Building Lessons with The Carpentries Workbench,Skill Up,Room2,TRUE,TRUE,"Room2-Aug 10, 2022 2:36 PM.csv"
"11 August, 2022",5:00:00 PM,12:00:00 AM,60,KickAbs,Informal Meetup,Room2,TRUE,TRUE,"Room2-Aug 10, 2022 4:51 PM.csv"
"11 August, 2022",6:30:00 PM,1:30:00 AM,60,A Handbook for The Carpentries Community Coordinators,Sprint,Room2,TRUE,TRUE,"Room2-Aug 10, 2022 6:14 PM.csv"
"11 August, 2022",12:00:00 AM,7:00:00 AM,60,"African Carpentries Monthly Meetup: Lanfrica, connecting all African language resources",,Toby,TRUE,TRUE,"Toby-Aug 10, 2022 11:51 PM.csv"
"11 August, 2022",1:30:00 AM,8:30:00 AM,30,Conference Closing Ceremony,Closing Ceremony,Room2,TRUE,TRUE,"Room2-Aug 11, 2022 1:20 AM.csv"
"11 August, 2022",5:30:00 AM,12:30:00 PM,60,A Conversation with The Carpentries Core Team,Informal Meetup,Room2,TRUE,TRUE,"Room2-Aug 11, 2022 4:29 AM.csv"
"11 August, 2022",7:00:00 AM,2:00:00 PM,120,Learning to Analyze Intersectionality using R,Skill Up,Room2,TRUE,TRUE,"Room2-Aug 11, 2022 6:38 AM.csv"
"11 August, 2022",3:00:00 PM,10:00:00 PM,90,Online to In-Person: How do we translate what we have learned from teaching online?,Breakout Session,Room2,TRUE,TRUE,"Room2-Aug 11, 2022 2:42 PM.csv"
"12 August, 2022",5:00:00 PM,12:00:00 AM,30,Conference Closing Ceremony,Closing Ceremony,Room2,TRUE,TRUE,"Room2-Aug 11, 2022 4:35 PM.csv"
"12 August, 2022",7:00:00 AM,2:00:00 PM,120,Building Lessons with The Carpentries Workbench,Skill Up,Room2,TRUE,TRUE,"Room2-Aug 12, 2022 6:39 AM.csv"
"12 August, 2022",9:30:00 AM,4:30:00 PM,120,High Performance Workflows with Snakemake,Sprint,Room2,TRUE,TRUE,"Room2-Aug 12, 2022 9:18 AM.csv"
"12 August, 2022",11:30:00 AM,6:30:00 PM,30,Conference Closing Ceremony,Closing Ceremony,Room2,TRUE,TRUE,"Room2-Aug 12, 2022 9:18 AM.csv"
