slug,tag_name,start_date,attendance,host_name,country,latitude,longitude,url
2013-03-24-kaust,SWC,2013-03-24,20,King Abdullah University of Science and Technology,SA,22.3101,39.1259,https://swcarpentry.github.io/2013-03-24-kaust/
2013-04-04-arizona,SWC,2013-04-04,35,University of Arizona,US,32.2363584,-110.9495396,https://swcarpentry.github.io/2013-04-04-arizona/
2013-04-04-ucl,SWC,2013-04-04,31,University College London,GB,51.524789,-0.133578,https://swcarpentry.github.io/2013-04-04-ucl/
2013-04-08-stellenbosch,SWC,2013-04-08,10,Stellenbosch University,ZA,-33.929492,18.865391,https://swcarpentry.github.io/2013-04-08-stellenbosch/
2013-04-11-egi,SWC,2013-04-13,20,European Grid Infrastructure,GB,53.467102,-2.233958,https://swcarpentry.github.io/2013-04-11-egi/
2013-04-13-ucb,SWC,2013-04-13,24,University of California Berkeley,US,37.8695,-122.258949,https://swcarpentry.github.io/2013-04-13-ucb/
2013-04-18-manchester,SWC,2013-04-18,28,University of Manchester,GB,53.4783491,-2.2416052,https://swcarpentry.github.io/2013-04-18-manchester/
2013-04-20-paris,SWC,2013-04-20,25,Telecom ParisTech,FR,48.82629,2.34642,https://swcarpentry.github.io/2013-04-20-paris/
2013-04-27-umaryland,SWC,2013-04-27,15,University of Maryland,US,39.291389,-76.625,https://swcarpentry.github.io/2013-04-27-umaryland/
2013-04-29-wisc,SWC,2013-04-29,30,University of Wisconsin - Madison,US,43.07718,-89.40399,https://swcarpentry.github.io/2013-04-29-wisc/
2013-05-02-vu,SWC,2013-05-02,39,Vrije Universiteit,NL,52.33399,4.86305,https://swcarpentry.github.io/2013-05-02-vu/
2013-05-06-geomar,SWC,2013-05-06,32,GEOMAR (Kiel),DE,54.32707,10.18265,https://swcarpentry.github.io/2013-05-06-geomar/
2013-05-06-hhmi,SWC,2013-05-06,35,Howard Hughes Medical Institute,US,39.07141,-77.46427,https://swcarpentry.github.io/2013-05-06-hhmi/
2013-05-06-stanford,SWC,2013-05-06,50,Stanford University,US,37.42949,-122.17186,https://swcarpentry.github.io/2013-05-06-stanford/
2013-05-09-lbl,SWC,2013-05-09,24,Lawrence Berkeley National Laboratory,US,37.8759281,-122.2500418,https://swcarpentry.github.io/2013-05-09-lbl/
2013-05-09-mozilla,SWC,2013-05-09,28,Mozilla Foundation,CA,43.64712,-79.3943,https://swcarpentry.github.io/2013-05-09-mozilla/
2013-05-09-oxford,SWC,2013-05-09,33,University of Oxford,GB,51.759865,-1.258648,https://swcarpentry.github.io/2013-05-09-oxford/
2013-05-12-ttt-online,"TTT,online",2013-05-12,45,Software Carpentry,W3,-48.876667,-123.393333,
2013-05-13-ucdavis,SWC,2013-05-13,36,University of California Davis,US,38.54926,-121.76709,https://swcarpentry.github.io/2013-05-13-ucdavis/
2013-05-16-nescent,SWC,2013-05-16,12,NESCENT,US,36.00803,-78.92323,https://swcarpentry.github.io/2013-05-16-nescent/
2013-05-18-krakow,SWC,2013-05-18,28,Jagiellonian University,PL,50.060833,19.932778,https://swcarpentry.github.io/2013-05-18-krakow/
2013-05-20-duke,SWC,2013-05-20,40,Duke University,US,36.00283,-78.93827,https://swcarpentry.github.io/2013-05-20-duke/
2013-05-23-ucar,SWC,2013-05-23,16,University Corporation for Atmospheric Research,US,40.03131,-105.2459,https://swcarpentry.github.io/2013-05-23-ucar/
2013-05-23-umass,SWC,2013-05-23,39,University of Massachusetts,US,42.388889,-72.527778,https://swcarpentry.github.io/2013-05-23-umass/
2013-05-30-alberta,SWC,2013-05-30,37,University of Alberta,CA,53.52345,-113.526,https://swcarpentry.github.io/2013-05-30-alberta/
2013-06-03-southampton,SWC,2013-06-03,48,University of Southampton,GB,50.937716,-1.395599,https://swcarpentry.github.io/2013-06-03-southampton/
2013-06-03-tufts,SWC,2013-06-03,52,Tufts University,US,42.35076,-71.06274,https://swcarpentry.github.io/2013-06-03-tufts/
2013-06-04-dssg,SWC,2013-06-04,43,University of Chicago,US,41.789722,-87.599722,https://swcarpentry.github.io/2013-06-04-dssg/
2013-06-06-sfu,SWC,2013-06-06,37,Simon Fraser University,CA,49.276765,-122.917957,https://swcarpentry.github.io/2013-06-06-sfu/
2013-06-10-salk,SWC,2013-06-09,36,Salk Institute,US,32.887151,-117.246212,https://swcarpentry.github.io/2013-06-10-salk/
2013-06-17-chicago,SWC,2013-06-17,44,University of Chicago,US,41.7901128,-87.6007318,https://swcarpentry.github.io/2013-06-17-chicago/
2013-06-24-wise,"WiSE,SWC",2013-06-24,118,Software Carpentry,US,42.3625,-71.085,https://swcarpentry.github.io/2013-06-24-wise/
2013-06-25-scipy,SWC,2013-06-25,25,SciPy Conference,US,30.2835989,-97.7344283,https://swcarpentry.github.io/2013-06-25-scipy/
2013-07-01-christchurch,SWC,2013-07-01,19,New Zealand eScience Infrastructure,NZ,-43.523333,172.581944,https://swcarpentry.github.io/2013-07-01-christchurch/
2013-07-01-oklahoma,SWC,2013-07-01,40,University of Oklahoma,US,35.20859,-97.44566,https://swcarpentry.github.io/2013-07-01-oklahoma/
2013-07-03-oslo,SWC,2013-07-03,31,University of Oslo,NO,59.9399586,10.7217496,https://swcarpentry.github.io/2013-07-03-oslo/
2013-07-08-wuhan,SWC,2013-07-08,24,Wuhan Institute of Virology,CN,30.538977502418366,114.32192802429199,https://swcarpentry.github.io/2013-07-08-wuhan/
2013-07-11-indiana,SWC,2013-07-11,28,Indiana University,US,39.1663815,-86.526621,https://swcarpentry.github.io/2013-07-11-indiana/
2013-07-15-bath,SWC,2013-07-15,25,University of Bath,GB,51.3777431,-2.3263779,https://swcarpentry.github.io/2013-07-15-bath/
2013-07-15-vt,SWC,2013-07-15,21,Virginia Tech,US,37.2283843,-80.4234167,https://swcarpentry.github.io/2013-07-15-vt/
2013-07-16-cuahsi,SWC,2013-07-25,40,Utah State University,US,41.7408,-111.81416,https://swcarpentry.github.io/2013-07-16-cuahsi/
2013-07-18-notredame,SWC,2013-07-18,41,University of Notre Dame,US,41.70522,-86.23531,https://swcarpentry.github.io/2013-07-18-notredame/
2013-07-18-washington,SWC,2013-07-18,32,University of Washington,US,47.655,-122.303333,https://swcarpentry.github.io/2013-07-18-washington/
2013-07-27-cmu,SWC,2013-07-27,38,Carnegie Mellon University,US,40.443322,-79.943583,https://swcarpentry.github.io/2013-07-27-cmu/
2013-08-04-esa,SWC,2013-08-04,12,Ecological Society of America,US,44.968657,-93.27457,https://swcarpentry.github.io/2013-08-04-esa/
2013-08-12-ttt-online,"TTT,online",2013-08-12,41,Software Carpentry,W3,-48.876667,-123.393333,
2013-08-22-ku,SWC,2013-08-22,41,University of Kansas,US,38.9584551,-95.2432842,https://swcarpentry.github.io/2013-08-22-ku/
2013-08-27-erdc,SWC,2013-08-27,34,US Army Engineer Research and Development Center,US,32.3019199,-90.8733522,https://swcarpentry.github.io/2013-08-27-erdc/
2013-08-28-wisc,SWC,2013-08-28,34,University of Wisconsin - Madison,US,43.07718,-89.40399,https://swcarpentry.github.io/2013-08-28-wisc/
2013-09-05-iowa,SWC,2013-09-05,31,University of Iowa,US,41.66293,-91.56203,https://swcarpentry.github.io/2013-09-05-iowa/
2013-09-12-bristol,SWC,2013-09-12,27,University of Bristol,GB,51.457971,-2.601474,https://swcarpentry.github.io/2013-09-12-bristol/
2013-09-16-ISI,SWC,2013-09-16,27,Information Sciences Institute,US,34.020493,-118.281233,https://arokem.github.io/2013-09-16-ISI/
2013-09-16-stsci,SWC,2013-09-16,18,Space Telescope Science Institute,US,39.33272,-76.62327,https://swcarpentry.github.io/2013-09-16-stsci/
2013-09-19-chicago,SWC,2013-09-19,49,University of Chicago,US,41.79149,-87.6027,https://jdblischak.github.io/2013-09-19-chicago/
2013-09-21-uwaterloo,SWC,2013-09-21,44,University of Waterloo,CA,43.468889,-80.54,https://swcarpentry.github.io/2013-09-21-uwaterloo/
