slug,tag_name,start_date,attendance,host_name,country,latitude,longitude
2017-06-19-uwmadison-dc,DC,2017-06-19,27,University of Wisconsin - Madison,US,43.077319,-89.430135
2017-06-20-Spelman,SWC,2017-06-20,11,Spelman College,US,33.745109,-84.411543
2017-06-21-Crick,DC,2017-06-21,20,The Francis Crick Institute,GB,51.5318302,-0.1304385
2017-06-21-qmul,SWC,2017-06-21,14,Queen Mary University London,GB,51.523586,-0.040498
2017-06-26-pnnl,SWC,2017-06-26,16,Pacific Northwest National Lab ,US,46.346272,-119.271655
2017-06-26-ttt-online,"TTT,online",2017-06-26,6,Software Carpentry,W3,-48.876667,-123.393333
2017-06-26-wuerzburg,SWC,2017-06-26,20,University of Wuerzburg,DE,49.785444,9.975806
2017-06-27-LBL,DC,2017-06-27,7,Lawrence Berkeley National Laboratory,US,37.875928,-122.250027
2017-06-28-cfmehu,SWC,2017-06-28,27,University of the Basque Country,ES,43.313143,-2.009393
2017-06-28-ecsu,SWC,2017-06-28,9,Elizabeth City State University,US,36.281065,-76.21396
2017-06-28-otago,SWC,2017-06-28,30,University of Otago,NZ,-45.864437,170.513253
2017-06-28-uwmadison-swc,SWC,2017-06-28,27,University of Wisconsin - Madison,US,43.072834,-89.408136
2017-06-29-fsu,DC,2017-06-29,18,Florida State University,US,30.443059,-84.294984
2017-07-03-ResBaz-Python,SWC,2017-07-03,,Intersect Australia,AU,-33.880954,151.201288
2017-07-03-ResBaz-R,SWC,2017-07-03,,Intersect Australia,AU,-33.880954,151.201288
2017-07-03-cab,DC,2017-07-03,25,Central African Biodiversity Alliance,GA,-1.6304546,13.550041
2017-07-03-ngb-leeds,SWC,2017-07-03,18,University of Leeds,GB,53.80361,-1.555145
2017-07-03-sydney-resbaz-r-novice,SWC,2017-07-03,25,Macquarie University,AU,-33.8809099,151.1990994
2017-07-03-wuerzburg,SWC,2017-07-03,19,University of Wuerzburg,DE,49.80198,9.956515
2017-07-05-uniarkansas,DC,2017-07-06,23,University of Arkansas,US,36.062913,-94.1682237
2017-07-10-auckland,SWC,2017-07-10,,University of Auckland,NZ,-36.852231,174.768017
2017-07-10-ttt-online,"TTT,online",2017-07-10,21,Software Carpentry,W3,-48.876667,-123.393333
2017-07-10-uqws,SWC,2017-07-10,31,University of Queensland,AU,-27.501425,153.01493
2017-07-11-uchicago,SWC,2017-07-11,14,University of Chicago,US,41.790684,-87.602844
2017-07-12-LBNL,SWC,2017-07-12,8,Lawrence Berkeley National Laboratory,US,37.875919,-122.250036
2017-07-12-ualberta-DC,DC,2017-07-12,13,University of Alberta,CA,53.526942,-113.52955
2017-07-13-jaxlab-instructor-training,"TTT,online",2017-07-13,8,Software Carpentry,W3,-48.876667,-123.393333
2017-07-13-ttt-online,"TTT,online",2017-07-13,16,Software Carpentry,W3,-48.876667,-123.393333
2017-07-15-UCSF-Python,SWC,2017-07-15,42,University of California San Francisco,US,37.767411,-122.390344
2017-07-15-UCSF-R,SWC,2017-07-15,33,University of California San Francisco,US,37.767417,-122.390322
2017-07-17-imperial,DC,2017-07-17,19,Imperial College London,GB,51.499708,-0.176343
2017-07-19-Mauritius,SWC,2017-07-19,25,University of Mauritius,MU,-20.233812,57.497518
2017-07-19-imperial,SWC,2017-07-19,24,Imperial College London,GB,51.499708,-0.176343
2017-07-20-caltech,DC,2017-07-20,19,California Institute of Technology,US,34.137263,-118.1247
2017-07-21-LBNL,SWC,2017-07-20,29,Lawrence Berkeley National Laboratory,US,37.875928,-122.250027
2017-07-24-chicago,SWC,2017-07-24,9,University of Chicago,US,41.788401,-87.599099
2017-07-25-UCL_software_carpentry,SWC,2017-07-26,29,University College London,GB,51.525256,-0.132574
2017-07-25-tucson-ttt,TTT,2017-07-25,9,Software Carpentry,US,32.237973,-110.947101
2017-07-26-LBNL,SWC,2017-07-26,7,Lawrence Berkeley National Laboratory,US,37.87591,-122.250006
