Slug,Registered,Day1,Day2,Day3,Day4,Day5
2017-12-01-gwu-Python,49,15,15
2017-12-12-acadia,24,24,23
2017-12-02-mun,36,35,33
2017-11-30-minnesota,21,19,8
2017-12-18-grand-valley,27,20,19
2017-12-13-amsterdam,,11,11
2017-12-14-ucr,15,10,9,10,9
2017-12-18-umich,,19,15
2017-12-20-normandale,,19, 
2018-01-08-uwmadison-dc,38,38,38
2018-01-10-uwmadison-swc,32,28,28
2018-01-03-davis,50,42,37
2018-01-11-ucmerced,,25,25
2018-01-09-gpn,28,26,26
2017-12-18-okstate,33,23,21
2018-01-08-okstate,32,25,17
2018-01-11-BIDS,30,30,15
2018-01-11-ireland,30,30,25
2018-01-03-UNL,46,46,46   
2018-01-19-csumb,30,25,19
2018-01-18-uiuc,35,35,35
2018-01-18-stonybrook,25,16,16
2018-01-11-NBER,,20,8
2018-01-07-aas,21,21,21 
2018-01-18-UMWISE, 16,13,13
2018-01-22-UFII,,13,13
2018-01-20-coloradomines,,20,14
2018-01-22-morelia,52.45.40
2018-01-26-unt-swc,40,32,23  
2018-02-01-uiuc,19,19,19
2018-02-15-earlham,38,29,25
2018-02-24-UTA,43,37,31
2018-01-27-wvu,35,24,24
2018-02-05-Oslo,30,12,18
2018-02-10-tucson,122,67,67
2018-02-22-Potsdam-Berlin,35,27,27
2018-02-24-nyas-R,109,90,90
2018-02-24-nyas-Python,109,90,90
2018-02-26-umich-shapiro,25,17,16
2018-02-26-UMich,50,29,28
2018-02-28-wsu,32,29,24
2018-03-06-nyu,33,18,13
2018-03-06-stanford,35,23,20  
018-03-08-geneva,20,20,17 
2018-03-10-uscf-R,,30,25 
2018-03-10-uscf-python,,29,25
2018-03-08-gwu,27,15,7
2018-01-10-ou,11,9,9
2018-01-29-maxplanck,30,31,31
2018-02-07-smithsonian,,39,39
2018-01-18-UF-R,30,18,12,11,17,16,10,6
2018-03-07-smithsonian,34,26,26   
2018-03-07-UCSD,35,35,35
2018-03-12-tamu,26,22,23
2018-03-12-stockholm,30,21,13
2018-03-14-unt-swc,24,14,14 
2018-03-13-census,21,19,19
2018-03-15-lund,21,16,17
2018-02-22-milan,23,22,21
2018-03-15-Boise,80,48,48
2018-03-22-nasa,22,20,19
2018-03-07-ncstate,40,40,40
2018-01-24-ucdavis,30,21,28
2018-04-03-Utrecht,20,14,13
2018-03-26-ucriverside,26,10,10 
2018-03-01-UCDLF,20,18,18
2018-03-05-aarhus,10,7,6
2018-03-28-ucirvine,40,22,22  
2018-04-05-gpn,27,26,23
2018-03-29-stanford,40,40,40
2018-03-20-UFDataSymposium,25,21,21 
2018-03-20-genentech,,39,37 
2018-01-11-rutgers,30,21,21
2018-04-04-NIH,32,31,25
2018-03-28-elixir,12,12,12
2018-03-28-stanford,25,23,21
2017-12-18-PNNL,18,15,14
