Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A few hours,No Experience
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",helper,A few hours,No Experience
Unknown,US,"Civil, mechanical, chemical, or nuclear engineering, Economics/business, Mathematics/statistics",learner,A few hours,No Experience
grad,CD,Computer science/electrical engineering,contributor,A few hours,No Experience
grad,CD,Social sciences,learner,A few hours,No Experience
librarian,US,"Humanities, Library and information science",learner,A few hours,No Experience
librarian,US,"Humanities, Library and information science",organizer,A few hours,No Experience
research,US,"Computer science/electrical engineering, Humanities",Unknown,A few hours,No Experience
research,US,Computer science/electrical engineering,"helper, learner",A few hours,No Experience
Unknown,US,"Computer science/electrical engineering, High performance computing",learner,A full degree,No Experience
Unknown,US,Economics/business,learner,A full degree,No Experience
Unknown,US,"Computer science/electrical engineering, Humanities",Unknown,A full degree,No Experience
support,GH,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A full degree,No Experience
support,US,"Economics/business, Social sciences",learner,A full degree,No Experience
grad,DE,"Civil, mechanical, chemical, or nuclear engineering, High performance computing, Space sciences",Unknown,A full degree,No Experience
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
Unknown,US,"Physics, Planetary sciences (geology, climatology, oceanography, etc.), Space sciences",Unknown,A full degree,No Experience
grad,US,"Mathematics/statistics, Physics, Space sciences",Unknown,A full degree,No Experience
commerce,US,"Civil, mechanical, chemical, or nuclear engineering, Mathematics/statistics, Physics",Unknown,A full degree,No Experience
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",helper,A full degree,No Experience
support,GB,Humanities,learner,A full degree,No Experience
postdoc,GB,"Genetics, genomics, bioinformatics, Mathematics/statistics","helper, learner",A full degree,No Experience
librarian,CA,Library and information science,learner,A full degree,No Experience
librarian,US,"Computer science/electrical engineering, Library and information science",Unknown,A full degree,No Experience
faculty,US,"Education, Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
librarian,US,Library and information science,Unknown,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics",Unknown,A full degree,No Experience
librarian,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Education, Humanities, Library and information science, Mathematics/statistics, Social sciences",learner,A full degree,No Experience
faculty,US,Mathematics/statistics,Unknown,A full degree,No Experience
research,US,"Genetics, genomics, bioinformatics","helper, learner",A full degree,No Experience
undergrad,ZA,Unknown,Unknown,A full degree,No Experience
librarian,US,Library and information science,learner,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics",learner,A full degree,No Experience
librarian,US,"Library and information science, Mathematics/statistics",learner,A full degree,No Experience
research,US,"Humanities, Library and information science, Social sciences",Unknown,A full degree,No Experience
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics",learner,A full degree,No Experience
postdoc,US,Unknown,Unknown,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics","helper, instructor, host, organizer",A full degree,No Experience
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
grad,US,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.), Social sciences",Unknown,A full degree,No Experience
support,US,"Computer science/electrical engineering, High performance computing","helper, instructor",A full degree,No Experience
librarian,US,Library and information science,Unknown,A full degree,No Experience
postdoc,US,"Computer science/electrical engineering, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",learner,A full degree,No Experience
postdoc,US,"Computer science/electrical engineering, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
faculty,US,Library and information science, Data Management,A full degree,No Experience
grad,US,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics",learner,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics",learner,A full degree,No Experience
grad,NO,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
research,NO,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics",learner,A full degree,No Experience
grad,US,Social sciences,learner,A full degree,No Experience
Unknown,US,Economics/business,Unknown,A full degree,No Experience
grad,CA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
Unknown,NO,"Civil, mechanical, chemical, or nuclear engineering",learner,A full degree,No Experience
research,US,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A full degree,No Experience
commerce,ZA,"Computer science/electrical engineering, Mathematics/statistics",Unknown,A full degree,No Experience
postdoc,US,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,A full degree,No Experience
research,GB,Computer science/electrical engineering,"helper, instructor, host, learner, organizer, contributor",A full degree,No Experience
grad,DE,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",Unknown,A full degree,No Experience
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, host, learner, organizer",A full degree,No Experience
faculty,US,"Computer science/electrical engineering, Physics, Space sciences",Unknown,A full degree,No Experience
research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",helper,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics",Unknown,A full degree,No Experience
research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",Unknown,A full degree,No Experience
postdoc,NO,"Genetics, genomics, bioinformatics",learner,A full degree,No Experience
grad,SE,"Genetics, genomics, bioinformatics, High performance computing",Unknown,A full degree,No Experience
grad,US,"Chemistry, Genetics, genomics, bioinformatics",Unknown,A full degree,No Experience
research,US,"Genetics, genomics, bioinformatics",Unknown,A full degree,No Experience
postdoc,US,"Genetics, genomics, bioinformatics",Unknown,A full degree,No Experience
grad,BR,"Genetics, genomics, bioinformatics",learner,A full degree,No Experience
Unknown,US,Unknown,learner,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics",helper,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
undisclosed,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A full degree,No Experience
librarian,US,"Education, Humanities",Unknown,A full degree,No Experience
research,AU,Physics,learner,A full degree,No Experience
grad,AU,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
grad,AU,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
Unknown,AU,"Economics/business, Education",learner,A full degree,No Experience
grad,AU,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
research,GB,Computer science/electrical engineering,"helper, instructor",A full degree,No Experience
postdoc,GB,"High performance computing, Physics",Unknown,A full degree,No Experience
research,GB,Computer science/electrical engineering,Unknown,A full degree,No Experience
research,AU,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
Unknown,US,"High performance computing, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A full degree,No Experience
support,US,"Computer science/electrical engineering, Space sciences",learner,A full degree,No Experience
grad,CA,Medicine,Unknown,A full degree,No Experience
support,US,"Physics, Space sciences",learner,A full degree,No Experience
support,US,Computer science/electrical engineering,learner,A full degree,No Experience
support,US,Physics,Unknown,A full degree,No Experience
grad,US,"Genetics, genomics, bioinformatics","helper, contributor",A full degree,No Experience
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A full degree,No Experience
support,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
research,US,"Genetics, genomics, bioinformatics",Unknown,A full degree,No Experience
research,US,"Computer science/electrical engineering, Mathematics/statistics, Physics, Space sciences",Unknown,A full degree,No Experience
grad,US,"Economics/business, Humanities, Social sciences",Unknown,A full degree,No Experience
postdoc,US,"Chemistry, High performance computing",Unknown,A full degree,No Experience
undisclosed,US,"Economics/business, Mathematics/statistics",Unknown,A full degree,No Experience
postdoc,US,"Genetics, genomics, bioinformatics, High performance computing","helper, instructor",A full degree,No Experience
support,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",helper,A full degree,No Experience
Unknown,US,"Mathematics/statistics, Psychology/neuroscience, Social sciences",Unknown,A full degree,No Experience
grad,US,"Mathematics/statistics, Medicine, Psychology/neuroscience",learner,A full degree,No Experience
Unknown,ES,Chemistry,helper,A full degree,No Experience
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology), Social sciences",learner,A full degree,No Experience
postdoc,US,"Education, Planetary sciences (geology, climatology, oceanography, etc.), Social sciences",learner,A full degree,No Experience
postdoc,AU,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics","instructor, organizer",A full degree,No Experience
grad,US,"Chemistry, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,No Experience
grad,AU,"Genetics, genomics, bioinformatics",helper,A full degree,No Experience
librarian,GB,"Humanities, Library and information science","learner, contributor",A full degree,No Experience
Unknown,GB,"Humanities, Library and information science, Psychology/neuroscience, Social sciences",host,A full degree,No Experience
postdoc,BE,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",host,A full degree,No Experience
Unknown,GB,"Computer science/electrical engineering, Humanities, Library and information science",Unknown,A full degree,No Experience
Unknown,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",learner,A full degree,No Experience
Unknown,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner, contributor",A full degree,No Experience
research,US,"Economics/business, Social sciences",learner,A full degree,No Experience
grad,US,Social sciences,learner,A full degree,No Experience
faculty,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A full degree,No Experience
faculty,US,"Organismal biology (ecology, botany, zoology, microbiology)",organizer,A full degree,No Experience
support,US,"Computer science/electrical engineering, High performance computing",Unknown,A full degree,No Experience
faculty,US,Medicine,Unknown,A full degree,No Experience
support,GB,"Genetics, genomics, bioinformatics, High performance computing",helper,A full degree,No Experience
research,US,"Genetics, genomics, bioinformatics",Unknown,A full degree,No Experience
librarian,US,"Genetics, genomics, bioinformatics, Library and information science, Organismal biology (ecology, botany, zoology, microbiology)","host, learner, organizer",A workshop,No Experience
grad,US,"Genetics, genomics, bioinformatics",Unknown,A workshop,No Experience
postdoc,MX,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,A workshop,No Experience
grad,MX,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",helper,A workshop,No Experience
research,US,"Computer science/electrical engineering, Mathematics/statistics",learner,A workshop,No Experience
support,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",Unknown,A workshop,No Experience
grad,MX,"Genetics, genomics, bioinformatics, Mathematics/statistics",helper,A workshop,No Experience
postdoc,MX,"Genetics, genomics, bioinformatics",Unknown,A workshop,No Experience
postdoc,MX,"Genetics, genomics, bioinformatics",Unknown,A workshop,No Experience
research,AU,"Humanities, Physics, Space sciences","helper, instructor, host, organizer",A workshop,No Experience
grad,MX,"Genetics, genomics, bioinformatics",Unknown,A workshop,No Experience
commerce,US,"Computer science/electrical engineering, Social sciences",Unknown,A workshop,No Experience
research,US,"Mathematics/statistics, Medicine",learner,A workshop,No Experience
Unknown,US,"Computer science/electrical engineering, Psychology/neuroscience, Social sciences",Unknown,A workshop,No Experience
grad,UY,"Economics/business, Mathematics/statistics",Unknown,A workshop,No Experience
Unknown,US,Mathematics/statistics,Unknown,A workshop,No Experience
grad,US,Unknown,learner,A workshop,No Experience
research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",helper,A workshop,No Experience
librarian,AU,Library and information science,organizer,A workshop,No Experience
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor",A workshop,No Experience
postdoc,ES,Physics,helper,A workshop,No Experience
support,MX,"Computer science/electrical engineering, Education, Mathematics/statistics","helper, instructor",A workshop,No Experience
librarian,GB,Library and information science,instructor,A workshop,No Experience
grad,MX,Mathematics/statistics,learner,A workshop,No Experience
support,NZ,"Computer science/electrical engineering, High performance computing, Mathematics/statistics","helper, instructor, host, organizer",A workshop,No Experience
grad,AU,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A workshop,No Experience
research,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,No Experience
grad,MX,"Genetics, genomics, bioinformatics","helper, learner",A workshop,No Experience
support,GB,"Computer science/electrical engineering, High performance computing","helper, learner, contributor",A workshop,No Experience
postdoc,GB,"Genetics, genomics, bioinformatics, Mathematics/statistics","helper, learner",A workshop,No Experience
research,GB,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing, Mathematics/statistics",helper,A workshop,No Experience
research,GB,"Physics, Space sciences",helper,A workshop,No Experience
support,GB,"Computer science/electrical engineering, Mathematics/statistics, Physics","helper, contributor",A workshop,No Experience
grad,GB,Social sciences,helper,A workshop,No Experience
postdoc,GB,"Genetics, genomics, bioinformatics",Unknown,A workshop,No Experience
support,US,Economics/business,"helper, instructor, learner, contributor",A workshop,No Experience
Unknown,GB,"Computer science/electrical engineering, Medicine",Unknown,A workshop,No Experience
Unknown,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A workshop,No Experience
research,MX,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",host,A workshop,No Experience
faculty,GB,"Genetics, genomics, bioinformatics","helper, organizer",A workshop,No Experience
Unknown,GB,"Computer science/electrical engineering, High performance computing",learner,A workshop,No Experience
grad,PT,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Physics",Unknown,A workshop,No Experience
research,GB,Computer science/electrical engineering,instructor,A workshop,No Experience
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A workshop,No Experience
grad,US,"Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,A workshop,No Experience
research,GB,Computer science/electrical engineering,"helper, instructor",A workshop,No Experience
postdoc,GB,"High performance computing, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",helper,A workshop,No Experience
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",helper,A workshop,No Experience
research,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",helper,A workshop,No Experience
research,US,"Genetics, genomics, bioinformatics, Medicine",learner,A workshop,No Experience
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,No Experience
grad,US,"Genetics, genomics, bioinformatics","helper, learner",A workshop,No Experience
grad,US,"Genetics, genomics, bioinformatics, High performance computing",Unknown,A workshop,No Experience
grad,US,"Civil, mechanical, chemical, or nuclear engineering, Genetics, genomics, bioinformatics","helper, learner",A workshop,No Experience
research,CN,"Genetics, genomics, bioinformatics, Medicine, Psychology/neuroscience",learner,A workshop,No Experience
postdoc,GB,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A workshop,No Experience
commerce,US,Computer science/electrical engineering,"helper, instructor",A workshop,No Experience
faculty,US,"Education, Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, host, learner, organizer",A workshop,No Experience
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A workshop,No Experience
support,AU,Unknown,Unknown,A workshop,No Experience
Unknown,US,"Education, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,No Experience
grad,US,Mathematics/statistics,learner,A workshop,No Experience
grad,US,"Chemistry, Computer science/electrical engineering, Physics",Unknown,A workshop,No Experience
faculty,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",instructor,A workshop,No Experience
postdoc,GB,Computer science/electrical engineering, Music psychology,A workshop,No Experience
grad,US,"Genetics, genomics, bioinformatics, Psychology/neuroscience",Unknown,A workshop,No Experience
grad,US,Mathematics/statistics,contributor,A workshop,No Experience
research,US,"Planetary sciences (geology, climatology, oceanography, etc.)",contributor,A workshop,No Experience
undisclosed,US,Unknown,Unknown,A workshop,No Experience
grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,A workshop,No Experience
grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor",A workshop,No Experience
postdoc,GB,Physics,Unknown,A workshop,No Experience
support,AU,"Genetics, genomics, bioinformatics, High performance computing","helper, learner",A workshop,No Experience
research,AU,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",helper,A workshop,No Experience
librarian,AU,Unknown,"helper, learner",A workshop,No Experience
grad,AU,"Chemistry, Genetics, genomics, bioinformatics",helper,A workshop,No Experience
librarian,AU,Library and information science,Unknown,A workshop,No Experience
support,AU,"High performance computing, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor",A workshop,No Experience
faculty,AU,Library and information science,learner,A workshop,No Experience
research,AU,"Genetics, genomics, bioinformatics",learner,A workshop,No Experience
undisclosed,AU,Unknown,Unknown,A workshop,No Experience
support,AU,Computer science/electrical engineering,helper,A workshop,No Experience
research,AU,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner, contributor",A workshop,No Experience
librarian,AU,Library and information science,"helper, learner",A workshop,No Experience
grad,AU,"Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner",A workshop,No Experience
undisclosed,AU,"Computer science/electrical engineering, High performance computing","helper, learner",A workshop,No Experience
Unknown,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",learner,A workshop,No Experience
research,US,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, High performance computing",learner,A workshop,No Experience
grad,GB,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,No Experience
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,No Experience
research,US,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics","helper, learner",A workshop,No Experience
grad,MX,"Genetics, genomics, bioinformatics",learner,A workshop,No Experience
faculty,US,"Education, Psychology/neuroscience, Social sciences",Unknown,A workshop,No Experience
Unknown,US,Economics/business,Unknown,A workshop,No Experience
faculty,ID,"Computer science/electrical engineering, Physics","learner, organizer, contributor",A workshop,No Experience
research,MX,"Chemistry, Genetics, genomics, bioinformatics",organizer,A workshop,No Experience
Unknown,US,"Education, High performance computing, Mathematics/statistics",Unknown,A workshop,No Experience
grad,US,"Economics/business, Education, Mathematics/statistics",learner,A workshop,No Experience
librarian,US,Library and information science,learner,A workshop,No Experience
grad,MX,"Genetics, genomics, bioinformatics",Unknown,A workshop,No Experience
support,MX,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",organizer,A workshop,No Experience
Unknown,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner",A workshop,No Experience
postdoc,DE,"High performance computing, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",contributor,A workshop,No Experience
faculty,US,"Economics/business, Mathematics/statistics",contributor,A workshop,No Experience
librarian,CA,Library and information science,learner,A workshop,No Experience
faculty,CA,"Computer science/electrical engineering, Education",Unknown,A workshop,No Experience
commerce,US,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Psychology/neuroscience",helper,A workshop,No Experience
research,FR,"Chemistry, Genetics, genomics, bioinformatics","helper, instructor, organizer, contributor",A workshop,No Experience
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A workshop,No Experience
research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",Unknown,A workshop,No Experience
faculty,US,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,A workshop,No Experience
grad,MX,Mathematics/statistics,Unknown,A workshop,No Experience
support,MX,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, High performance computing",organizer,A workshop,No Experience
research,US,"Education, Genetics, genomics, bioinformatics, High performance computing",Unknown,A workshop,No Experience
research,MX,"Genetics, genomics, bioinformatics",Unknown,A workshop,Other:
support,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",learner,helper,Other:
librarian,US,Library and information science,learner,helper,Other:
support,MX,Computer science/electrical engineering,helper,"helper, instructor, organizer",Other:
research,MX,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",helper,"host, learner",Other:
research,MX,"Chemistry, Genetics, genomics, bioinformatics",organizer,learner,Other:
research,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",helper,learner,Other:
postdoc,US,"Genetics, genomics, bioinformatics, High performance computing","host, learner, organizer",learner,Other:
faculty,EG,"Genetics, genomics, bioinformatics",learner,learner,Other:
research,US,"Library and information science, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner, contributor",learner,Other:
postdoc,CA,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",learner,Other:
research,US,"Mathematics/statistics, Physics",helper,No Training,Other:
commerce,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",Unknown,No Training,Other:
grad,GB,"Civil, mechanical, chemical, or nuclear engineering",learner,No Training,Other:
grad,US,"Education, Humanities, Library and information science", data analytics,No Training,Other:
undergrad,IN,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, Mathematics/statistics, Medicine",learner,No Training,Other:
research,GB,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",helper,No Training,Other:
Unknown,GB,Social sciences,learner,No Training,Other:
grad,US,Unknown,"helper, instructor, learner",No Training,Other:
undisclosed,GB,Computer science/electrical engineering,Unknown,No Training,Other:
grad,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing","helper, instructor, learner, contributor",No Training,Other:
grad,CA,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",No Training,Other:
Unknown,US,Computer science/electrical engineering,Unknown,No Training,Other:
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Other:
faculty,AU,Psychology/neuroscience,Unknown,No Training,Other:
postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",Unknown,No Training,Other:
research,GB,Computer science/electrical engineering,helper,No Training,Other:
undisclosed,CA,Computer science/electrical engineering,learner,No Training,Other:
support,US,"Computer science/electrical engineering, High performance computing",Unknown,No Training,Other:
research,US,"Civil, mechanical, chemical, or nuclear engineering, Mathematics/statistics, Physics",learner,No Training,Other:
research,US,"Computer science/electrical engineering, Mathematics/statistics",helper,No Training,Other:
research,GB,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Other:
postdoc,ZA,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,No Training,Other:
grad,US,"High performance computing, Mathematics/statistics, Social sciences",Unknown,No Training,Other:
postdoc,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",Unknown,No Training,Other:
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",No Training,Other:
undergrad,ET,"Civil, mechanical, chemical, or nuclear engineering",helper,No Training,Other:
faculty,ET,"Computer science/electrical engineering, Education",learner,No Training,Other:
Unknown,GB,"Genetics, genomics, bioinformatics, Medicine",learner,No Training,Other:
Unknown,US,Education,"helper, host, organizer",No Training,Other:
faculty,US,"Computer science/electrical engineering, Library and information science","helper, learner",No Training,Other:
Unknown,NZ,"Computer science/electrical engineering, Economics/business, Mathematics/statistics",Unknown,No Training,Other:
research,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",Unknown,No Training,Other:
grad,CA,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Psychology/neuroscience",Unknown,No Training,Other:
postdoc,ZA,"High performance computing, Mathematics/statistics, Physics, Space sciences",organizer,No Training,Other:
research,ES,"Genetics, genomics, bioinformatics",helper,No Training,Other:
postdoc,US,"Computer science/electrical engineering, Mathematics/statistics, Psychology/neuroscience",Unknown,No Training,Other:
postdoc,NG,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Other:
postdoc,US,"Education, High performance computing, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Other:
undisclosed,ET,Unknown,learner,No Training,Other:
faculty,GB,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",Unknown,No Training,Other:
faculty,CA,"Computer science/electrical engineering, Psychology/neuroscience","helper, contributor",No Training,Other:
grad,US,"Education, Genetics, genomics, bioinformatics",learner,No Training,Other:
support,AU,"Education, High performance computing, Physics, Space sciences",Unknown,No Training,Other:
Unknown,AU,"Library and information science, Physics",Unknown,No Training,Other:
librarian,ZA,Library and information science,"helper, learner",No Training,Other:
faculty,FR,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",Unknown,No Training,Other:
research,US,"Civil, mechanical, chemical, or nuclear engineering, Physics","helper, instructor",No Training,Other:
Unknown,ET,"Economics/business, Education",organizer,No Training,Other:
support,ZA,Library and information science,Unknown,No Training,Other:
support,ZA,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",Unknown,No Training,Other:
undisclosed,AU,Unknown,Unknown,No Training,Other:
Unknown,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Medicine, Psychology/neuroscience",Unknown,No Training,Other:
librarian,ZA,"Education, Humanities, Library and information science, Social sciences",Unknown,No Training,Other:
research,ZA,Computer science/electrical engineering,Unknown,No Training,Other:
librarian,ZA,"Humanities, Library and information science",learner,No Training,Other:
grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Other:
postdoc,US,"Computer science/electrical engineering, Mathematics/statistics, Psychology/neuroscience",learner,No Training,Other:
support,AU,"High performance computing, Mathematics/statistics",Unknown,No Training,Other:
undisclosed,AU,Unknown,Unknown,No Training,Other:
support,ZA,"Humanities, Social sciences",Unknown,No Training,Other:
research,ZA,Mathematics/statistics,instructor,No Training,Other:
postdoc,ES,"Computer science/electrical engineering, Psychology/neuroscience",learner,No Training,Other:
support,NZ,Computer science/electrical engineering,helper,No Training,Other:
research,NZ,"Computer science/electrical engineering, Education, High performance computing, Mathematics/statistics","helper, instructor",No Training,Other:
grad,ZA,Library and information science,Unknown,No Training,Other:
research,ZA,Mathematics/statistics,Unknown,No Training,Other:
faculty,BW,"Computer science/electrical engineering, High performance computing",learner,No Training,Other:
faculty,US,"Library and information science, Mathematics/statistics, Medicine, Social sciences",Unknown,No Training,Other:
grad,ZA,Mathematics/statistics,learner,No Training,Other:
postdoc,BW,"Computer science/electrical engineering, Education, High performance computing",learner,No Training,Other:
