first_survey_take,workshop_attended_amount,workshop_attended_age,workshop_attended_type,workshop_attended_location,workshop_attended_content,behavior_adopted,frequency_usage_before,frequency_usage_after,change_confidence,how_tools_help,workshop_contributed_academics,workshop_contributed_academics_open,topics_another_workshop_open,impact_career_advancement,impact_motivation_learning,impact_increase_reproducibility,impact_professional_recognition,impact_improve_coding_practice,impact_research_productivity,impact_increase_confidence,impact_open,workshop_country,community_involvement,other_activities,has_recommended,recommendation_score,outcomes_open,dont_use_skills_open,additional_comments_open
Yes,1,More than 1 year ago,Data Carpentry,"Room B111 in the Drachman ""B"" Building",Git;R;Unix Shell,"Using databases, scripts and queries to manage large data sets;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code;Using version control to manage code;Using version control to collaborate online (in public or private repositories);Sharing code or data publicly on places like GitHub or FigShare",Weekly,Daily,I'm more confident now,They are improving my overall efficiency,Yes,I will write an internship report that draws on the version control practice that I learned in part from the Carprentries,Data viz,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,I have returned many times to the data carpentry schedule & setup web page every time I work with a new computer. I am thankful this web page exists.  The most comfortable skill I took away was Unix command line,United States,Subscribed to the newsletter,Participated in an in-person short course;Participated in a Meetup;Participated in a semester long course;Used self-guided Carpentry lesson material;Used non-Carpentry self-guided material,Yes,10,NA,NA,Grateful for the Carpentries
I don't know,1,6 months - 1 year ago,Data Carpentry,NA,Git;R;Unix Shell,Reusing code,Daily,Daily,I'm equally confident now,They are improving my ability to manage data,No,NA,"The workshop I attended focused on R, but I would like to attend a workshop that discussed data structures in languages like Python for the geosciences",Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,There is a lot of dat and different wyas to manage it,United States,NA,NA,No,5,I am slightly better working in a bash shell and I sort of know how to navigate github,"Some of the topics covered in the workshop were not applicable to my research, making it difficult to follow",NA
Yes,2,More than 1 year ago,Data Carpentry,"As a learner, the last workshop was at NWU, Mafikeng",OpenRefine;R;Spreadsheets,"Improving data management and project organization;Using databases, scripts and queries to manage large data sets;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code",I had not been using tools like these,Monthly,I'm more confident now,They are improving my overall efficiency;They are improving my ability to analyze data;They are improving my ability to manage data,Yes,I have written articles for publication and also assisted students in data analysis which have been submitted for publication,agrometeorology data analysis,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,"I have been able to teach, train others and  inspire them to use the tools",South Africa,Subscribed to the newsletter;Attended at least one community call;Became a workshop helper;Became a Carpentry instructor;Joined a committee;Joined a mentoring group;Contributed to a Carpentry lesson,Participated in an in-person short course;Participated in an online short course;Participated in a Meetup;Used self-guided Carpentry lesson material,Yes,10,"Started a study group that is still on-going after I left, so helped built a Carpentries community there.  Mentored participants to become instructors",NA,NA
Yes,1,More than 1 year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yes,1,More than 1 year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yes,2,6 months - 1 year ago,Software Carpentry,University of Arkansas,Git;Python;Unix Shell,Using version control to collaborate online (in public or private repositories);Sharing code or data publicly on places like GitHub or FigShare,Less than once per year,Several times per year,I'm more confident now,They are improving my overall efficiency;They are improving my ability to manage data,No,NA,NA,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Strongly agree,It convinced me to pursue teaching a Carpentries course,United States,Became a Carpentry instructor;Contributed to a Carpentry lesson,Participated in an in-person short course,Yes,10,NA,NA,NA
Yes,1,More than 1 year ago,Data Carpentry,University of Arizona,Git;R;Unix Shell,"Improving data management and project organization;Using programming languages like R or Python, or the command line to automate repetitive tasks",Monthly,Monthly,I'm more confident now,They are improving my overall efficiency;They are improving my ability to analyze data;They are improving my ability to manage data,Yes,Comfort with shell as enabled all-around better workflow from directory management to updating packages,Literate programing,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Awareness of an amazing community of teachers and colleagues eager to produce knowledge with me,United States,NA,Participated in an in-person short course;Used self-guided Carpentry lesson material,Yes,10,NA,NA,NA
Yes,1,6 months - 1 year ago,Data Carpentry,Drachman Hall,Python,NA,Several times per year,Several times per year,I'm more confident now,They are improving my overall efficiency,No,NA,NA,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,NA,United States,NA,Used non-Carpentry self-guided material,Yes,9,NA,NA,NA
Yes,1,More than 1 year ago,Data Carpentry,University of Wisconsin-Madison,OpenRefine;R;SQL,"Using databases, scripts and queries to manage large data sets;Using programming languages like R or Python, or the command line to automate repetitive tasks",Daily,Daily,I'm more confident now,They are improving my ability to analyze data,Yes,It has helped me analyze data for publication,NA,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,NA,United States,NA,Used non-Carpentry self-guided material,Yes,9,NA,NA,NA
Yes,1,0-6 months ago,Data Carpentry,Tucson,Unix Shell,"Improving data management and project organization;Using programming languages like R or Python, or the command line to automate repetitive tasks",Several times per year,Several times per year,I'm more confident now,They are improving my ability to analyze data,Yes,NA,"Machine learning, Image analyses via code, microscopy data analyses",Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,NA,United States,Subscribed to the newsletter,NA,Yes,10,NA,NA,NA
Yes,3+,0-6 months ago,Data Carpentry,Christchurch,Cloud Computing;Git;R;Unix Shell;dc-genomics,"Improving data management and project organization;Developing a data management and analysis plan;Using databases, scripts and queries to manage large data sets;Transforming step-by-step workflows into scripts or functions;Using programming languages like R or Python, or the command line to automate repetitive tasks;Reusing code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yes,3+,More than 1 year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
